5'LTR,257,1074
TAR,774,898
Gag-Pol,1309,5666
Gag,1309,2842
Matrix,1309,1713
Capsid,1714,2400
p2,2401,2451
Nucleocapsid,2452,2607
p1,2608,2649
p6,2650,2842
Pol,2607,5666
GagPolTF,2607,2810
Protease,2811,3107
RT,3108,4424
RNase,4425,4784
Integrase,4785,5666
Vif,5596,6240
Vpx,6068,6406
Vpr,6407,6712
Tat(with intron),6558,9158
Tat(exon1),6558,6853
Tat(exon2),9062,9158
Rev(with intron),6784,9315
Rev(exon1),6784,6853
Rev(exon2),9062,9315
Env,6860,9499
gp120,6860,8434
gp41,8435,9499
Nef,9333,10124
3'LTR,9719,10535
Complete,1,10535
